City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,bulawayo,-20.15,28.5833,12.0,64,1,3.08,ZW,1683514321
318,pangkalpinang,-2.1333,106.1333,29.76,73,100,3.78,ID,1683514321
319,bama,11.5221,13.6856,28.84,18,65,0.83,NG,1683514321
320,merizo village,13.2658,144.6691,31.31,82,13,5.01,GU,1683514321
321,ribas do rio pardo,-20.4431,-53.7592,21.56,76,7,0.3,BR,1683514322
322,cabo san lucas,22.8909,-109.9124,28.17,40,75,5.14,MX,1683514223
323,viedma,-40.8135,-62.9967,13.69,79,100,6.07,AR,1683514322
324,dubbo,-32.25,148.6167,12.07,47,40,7.72,AU,1683514322
325,pijino del carmen,9.3291,-74.453,27.07,71,62,2.93,CO,1683514323
326,el hamma,33.8915,9.7963,23.02,54,100,8.28,TN,1683514323
327,dauphin,51.1494,-100.0502,15.08,51,100,4.63,CA,1683514323
328,velikiy ustyug,60.7644,46.3106,-0.2,81,60,3.0,RU,1683514323
329,cockburn town,21.4612,-71.1419,26.0,76,68,8.27,TC,1683514324
330,sicuani,-14.2694,-71.2261,5.48,96,100,1.57,PE,1683514324
331,borba,-4.3878,-59.5939,23.59,98,96,0.25,BR,1683514325
332,madalena,41.2162,-8.3345,14.7,90,94,0.6,PT,1683514325
333,kadugli,11.0167,29.7167,29.06,51,72,1.43,SD,1683514326
334,cross lanes,38.4204,-81.7907,17.81,94,91,0.89,US,1683514326
335,east london,-33.0153,27.9116,18.87,72,100,2.92,ZA,1683514326
336,pimentel,-6.8367,-79.9342,25.16,78,0,7.2,PE,1683514327
337,queenstown,-31.8976,26.8753,11.66,89,99,0.91,ZA,1683513898
338,sweetwater,25.7634,-80.3731,25.01,71,20,5.66,US,1683514327
339,lazaro cardenas,17.9583,-102.2,26.88,74,2,2.27,MX,1683514328
340,dunedin,-45.8742,170.5036,17.82,90,84,1.34,NZ,1683514328
341,belmonte,-15.8631,-38.8828,23.81,88,14,4.47,BR,1683514328
342,selfoss,63.9331,-20.9971,9.91,86,100,4.04,IS,1683514328
343,slawharad,53.4446,31.0014,-0.25,70,5,2.56,BY,1683514329
344,wynyard,-41.0,145.7167,14.43,75,100,5.85,AU,1683514329
345,manokwari,-0.8667,134.0833,28.88,75,98,3.98,ID,1683514329
346,oriximina,-1.7656,-55.8661,23.77,94,94,1.22,BR,1683514330
347,dickinson,29.4608,-95.0513,25.58,90,75,4.12,US,1683514321
348,mozarlandia,-14.7447,-50.5706,22.42,56,4,1.91,BR,1683514330
349,coronel fabriciano,-19.5186,-42.6289,18.02,82,0,0.51,BR,1683514331
350,igarka,67.4667,86.5833,-3.02,91,100,7.52,RU,1683514331
351,yuzhno-kurilsk,44.0306,145.8556,1.72,96,100,3.16,RU,1683514331
352,isiro,2.7739,27.616,18.24,98,44,0.5,CD,1683514331
353,thurso,58.5927,-3.5259,9.14,94,100,5.97,GB,1683514332
354,khandyga,62.6667,135.6,2.14,61,100,3.61,RU,1683514332
355,abadeh,31.1608,52.6506,17.04,12,16,2.24,IR,1683514333
356,fada n'gourma,12.0622,0.3578,29.02,52,99,4.17,BF,1683514333
357,ufa,54.775,56.0375,1.65,53,71,2.66,RU,1683514333
358,reguiba,33.5639,6.7033,27.03,34,20,8.23,DZ,1683514333
359,yicheng,31.3705,119.8703,18.8,50,79,3.6,CN,1683514334
360,bukama,-9.2,25.85,16.63,73,4,1.19,CD,1683514334
361,lerwick,60.1545,-1.1494,8.0,97,100,10.05,GB,1683514334
362,kenai,60.5544,-151.2583,7.3,78,100,5.66,US,1683514335
